dbname,Missing feature cells,Observed feature cells,Total feature cells,Overall missing percent,N residents/rows
C0830,63,1909,1972,0.03194726166328601,68
C0831,84,1279,1363,0.061628760088041086,47
C0832,0,348,348,0.0,12
C0833,99,1670,1769,0.05596382136800452,61
C0835,18,214,232,0.07758620689655173,8
C0836,24,1136,1160,0.020689655172413793,40
C0837,30,869,899,0.03337041156840934,31
C0838,105,939,1044,0.10057471264367816,36
C0850,222,2562,2784,0.07974137931034483,96
C0851,642,576,1218,0.5270935960591133,42
C0852,30,1130,1160,0.02586206896551724,40
C0853,63,1184,1247,0.05052125100240577,43
C0855,381,344,725,0.5255172413793103,25
C0857,78,1198,1276,0.061128526645768025,44
C0858,201,1104,1305,0.15402298850574714,45
C0859,48,735,783,0.06130268199233716,27
C0900,15,246,261,0.05747126436781609,9
C0901,24,469,493,0.0486815415821501,17
C0905,60,839,899,0.06674082313681869,31
C0907,24,498,522,0.04597701149425287,18
C0908,48,387,435,0.1103448275862069,15
C0909,0,87,87,0.0,3
C0910,42,248,290,0.14482758620689656,10
C0911,48,213,261,0.1839080459770115,9
C0912,54,33,87,0.6206896551724138,3
C0913,39,570,609,0.06403940886699508,21
C0915,51,732,783,0.06513409961685823,27
C0916,30,405,435,0.06896551724137931,15
C0917,12,481,493,0.02434077079107505,17
C0918,69,395,464,0.14870689655172414,16
C0919,0,232,232,0.0,8
C0920,303,277,580,0.5224137931034483,20
C0921,636,524,1160,0.5482758620689655,40
C0922,27,234,261,0.10344827586206896,9
C0925,75,360,435,0.1724137931034483,15
C0926,15,275,290,0.05172413793103448,10
C0927,63,517,580,0.10862068965517241,20
C0928,120,489,609,0.19704433497536947,21
C0929,291,521,812,0.3583743842364532,28
C0931,0,87,87,0.0,3
C0932,12,597,609,0.019704433497536946,21
C0933,60,694,754,0.07957559681697612,26
C0935,102,594,696,0.14655172413793102,24
C0937,15,304,319,0.047021943573667714,11
C0938,15,420,435,0.034482758620689655,15
C0939,36,457,493,0.07302231237322515,17
C0950,18,446,464,0.03879310344827586,16
C0951,54,178,232,0.23275862068965517,8
C0955,39,2571,2610,0.014942528735632184,90
C0956,39,1991,2030,0.01921182266009852,70
C0957,78,67,145,0.5379310344827586,5
C0958,39,599,638,0.061128526645768025,22
C0960,69,1381,1450,0.04758620689655172,50
C0965,12,394,406,0.029556650246305417,14
C0979,66,137,203,0.3251231527093596,7
C0980,51,413,464,0.10991379310344827,16
C0982,93,139,232,0.40086206896551724,8
C0985,54,352,406,0.1330049261083744,14
C0987,3,55,58,0.05172413793103448,2
C0988,12,249,261,0.04597701149425287,9
C0989,66,369,435,0.15172413793103448,15
C0996,30,318,348,0.08620689655172414,12
C0997,6,110,116,0.05172413793103448,4
C1003,123,138,261,0.47126436781609193,9
C1005,6,52,58,0.10344827586206896,2
C1006,108,211,319,0.3385579937304075,11
C1010,27,118,145,0.18620689655172415,5
C1011,21,37,58,0.3620689655172414,2
C1012,3,432,435,0.006896551724137931,15
C1013,63,53,116,0.5431034482758621,4
C1015,21,124,145,0.14482758620689656,5
C1018,60,2057,2117,0.02834199338686821,73
C1019,12,46,58,0.20689655172413793,2
C1021,3,26,29,0.10344827586206896,1
C1022,3,55,58,0.05172413793103448,2
C1025,36,22,58,0.6206896551724138,2
C1026,18,11,29,0.6206896551724138,1
C1031,90,548,638,0.14106583072100312,22
C1032,12,75,87,0.13793103448275862,3
C1033,3,26,29,0.10344827586206896,1
C1035,6,81,87,0.06896551724137931,3
C1036,12,104,116,0.10344827586206896,4
C1037,54,468,522,0.10344827586206896,18
C1052,9,78,87,0.10344827586206896,3
C1053,6,23,29,0.20689655172413793,1
C1055,6,23,29,0.20689655172413793,1
C1056,42,74,116,0.3620689655172414,4
C1059,66,311,377,0.17506631299734748,13
C1060,42,45,87,0.4827586206896552,3
C1067,6,52,58,0.10344827586206896,2
C1076,48,126,174,0.27586206896551724,6
C1082,45,71,116,0.3879310344827586,4
C1095,24,34,58,0.41379310344827586,2
C1099,3,26,29,0.10344827586206896,1
C1101,18,11,29,0.6206896551724138,1
C1103,63,314,377,0.16710875331564987,13
C1105,24,34,58,0.41379310344827586,2
C1106,18,11,29,0.6206896551724138,1
C1108,9,49,58,0.15517241379310345,2
C1113,18,11,29,0.6206896551724138,1
C1118,42,74,116,0.3620689655172414,4
C1119,33,25,58,0.5689655172413793,2
C1126,3,26,29,0.10344827586206896,1
C1133,24,34,58,0.41379310344827586,2
C1155,48,39,87,0.5517241379310345,3
C1156,69,76,145,0.47586206896551725,5
C1158,108,414,522,0.20689655172413793,18
C1165,33,25,58,0.5689655172413793,2
C1182,18,11,29,0.6206896551724138,1
C1188,15,14,29,0.5172413793103449,1
C1192,18,11,29,0.6206896551724138,1
C1197,9,20,29,0.3103448275862069,1
C1201,60,56,116,0.5172413793103449,4
C1212,15,14,29,0.5172413793103449,1
C1213,45,42,87,0.5172413793103449,3
CARE,9,1644,1653,0.0054446460980036296,57
S39006,36,486,522,0.06896551724137931,18
S39008,114,234,348,0.3275862068965517,12
S39016,24,63,87,0.27586206896551724,3
S39017,231,175,406,0.5689655172413793,14
S39018,1314,803,2117,0.6206896551724138,73
Y39005,15,507,522,0.028735632183908046,18
