dbname,Missing feature cells,Observed feature cells,Total feature cells,Overall missing percent,N residents/rows
C0223,0,580,580,0.0,20
C0225,114,1829,1943,0.05867215645908389,67
C0226,33,1475,1508,0.021883289124668436,52
C0227,657,648,1305,0.503448275862069,45
C0228,48,1431,1479,0.032454361054766734,51
C0229,99,1699,1798,0.05506117908787542,62
C025,384,370,754,0.5092838196286472,26
C0250,72,1871,1943,0.03705609881626351,67
C0251,63,2460,2523,0.02497027348394768,87
C0252,39,1614,1653,0.023593466424682397,57
C0255,72,1523,1595,0.045141065830721,55
C0256,3,432,435,0.006896551724137931,15
C0257,126,2397,2523,0.04994054696789536,87
C0258,27,1452,1479,0.018255578093306288,51
C0259,69,1642,1711,0.04032729398012858,59
C026,774,676,1450,0.5337931034482759,50
C0260,327,2283,2610,0.12528735632183907,90
C0261,66,1732,1798,0.03670745272525028,62
C0262,15,1783,1798,0.008342602892102336,62
C0267,93,2053,2146,0.043336439888164026,74
C0268,99,1699,1798,0.05506117908787542,62
C0269,39,2078,2117,0.018422295701464336,73
C027,180,3561,3741,0.048115477145148355,129
C028,1404,1322,2726,0.5150403521643434,94
C0281,33,1475,1508,0.021883289124668436,52
C0282,255,4472,4727,0.05394541992807277,163
C0283,177,1476,1653,0.10707803992740472,57
C0285,27,1075,1102,0.024500907441016333,38
C0286,45,1956,2001,0.022488755622188907,69
C0287,15,1203,1218,0.012315270935960592,42
C0289,81,4385,4466,0.018137035378414688,154
C029,486,2211,2697,0.18020022246941045,93
C0290,120,5477,5597,0.021440057173485797,193
C0291,144,1886,2030,0.07093596059113301,70
C0292,75,4101,4176,0.017959770114942528,144
C0293,78,2039,2117,0.03684459140292867,73
C0295,18,794,812,0.022167487684729065,28
C0296,6,1357,1363,0.004402054292002935,47
C0297,96,2369,2465,0.03894523326572008,85
C0298,120,1185,1305,0.09195402298850575,45
C0300,57,1915,1972,0.028904665314401622,68
C0301,48,1605,1653,0.029038112522686024,57
C0302,66,1065,1131,0.058355437665782495,39
C0303,249,2767,3016,0.08255968169761273,104
C0305,87,2262,2349,0.037037037037037035,81
C0307,105,1635,1740,0.0603448275862069,60
C0308,12,423,435,0.027586206896551724,15
C0309,39,1643,1682,0.02318668252080856,58
C0510,141,2643,2784,0.05064655172413793,96
C0511,42,4134,4176,0.010057471264367816,144
C0516,105,417,522,0.20114942528735633,18
C0517,30,1246,1276,0.023510971786833857,44
C0518,33,1446,1479,0.02231237322515213,51
C0519,27,669,696,0.03879310344827586,24
C0520,327,3588,3915,0.08352490421455938,135
C0521,27,1162,1189,0.022708158116063918,41
C0522,42,1263,1305,0.03218390804597701,45
C0523,21,849,870,0.02413793103448276,30
C0525,33,1968,2001,0.01649175412293853,69
C0527,54,2092,2146,0.02516309412861137,74
C0528,3,751,754,0.003978779840848806,26
C0529,57,987,1044,0.05459770114942529,36
C0530,87,1827,1914,0.045454545454545456,66
C0531,9,977,986,0.009127789046653144,34
C0533,156,3150,3306,0.047186932849364795,114
C0535,69,801,870,0.07931034482758621,30
C0536,138,1631,1769,0.07801017524024872,61
C0537,57,2350,2407,0.023680930619027835,83
C0538,78,2300,2378,0.03280067283431455,82
C0539,24,1049,1073,0.022367194780987885,37
C0550,2052,1544,3596,0.5706340378197998,124
C0551,33,1069,1102,0.029945553539019964,38
C0552,126,2629,2755,0.04573502722323049,95
C0553,54,1193,1247,0.04330392943063352,43
C0555,138,1660,1798,0.07675194660734148,62
C0556,42,1669,1711,0.024547048509643482,59
C0557,60,1535,1595,0.03761755485893417,55
C0558,3,26,29,0.10344827586206896,1
C0559,84,2352,2436,0.034482758620689655,84
C0560,105,2969,3074,0.034157449577098244,106
C0561,33,1562,1595,0.020689655172413793,55
C0562,36,1124,1160,0.03103448275862069,40
C0565,78,1517,1595,0.04890282131661442,55
C0566,294,4288,4582,0.06416412047140986,158
C0567,69,1091,1160,0.059482758620689656,40
C0568,102,3523,3625,0.02813793103448276,125
C0570,108,1429,1537,0.07026675341574495,53
C0571,105,2244,2349,0.04469987228607918,81
C0572,39,2861,2900,0.013448275862068966,100
C0573,42,1089,1131,0.03713527851458886,39
C0575,45,1695,1740,0.02586206896551724,60
C0576,72,3002,3074,0.02342225113858165,106
C0577,63,1880,1943,0.03242408646423057,67
C0578,690,2819,3509,0.19663721858079225,121
C0579,1200,888,2088,0.5747126436781609,72
C0580,57,1857,1914,0.029780564263322883,66
C0581,12,1351,1363,0.00880410858400587,47
C0582,60,1071,1131,0.05305039787798409,39
C0583,42,1524,1566,0.02681992337164751,54
C0585,63,1648,1711,0.03682057276446522,59
C0586,99,2511,2610,0.03793103448275862,90
C0587,63,1213,1276,0.0493730407523511,44
C0589,90,4173,4263,0.0211118930330753,147
C0590,27,1075,1102,0.024500907441016333,38
C0591,36,1820,1856,0.01939655172413793,64
C0592,54,1628,1682,0.03210463733650416,58
C0593,96,3123,3219,0.02982292637465051,111
C0595,186,1815,2001,0.09295352323838081,69
C0597,48,1402,1450,0.03310344827586207,50
C0598,30,782,812,0.03694581280788178,28
C0610,3078,2548,5626,0.5471027372911482,194
C0611,111,1658,1769,0.06274731486715658,61
C0612,45,1347,1392,0.032327586206896554,48
C0616,12,1467,1479,0.008113590263691683,51
C0617,24,1513,1537,0.015614834092387769,53
C0618,438,1447,1885,0.2323607427055703,65
C0619,24,643,667,0.035982008995502246,23
C0620,528,487,1015,0.5201970443349754,35
C0621,150,1358,1508,0.09946949602122016,52
C0622,39,2194,2233,0.017465293327362293,77
C0625,15,1203,1218,0.012315270935960592,42
C0626,138,2878,3016,0.045755968169761276,104
C0627,159,798,957,0.16614420062695925,33
C0628,24,1223,1247,0.019246190858059342,43
C0630,69,1468,1537,0.044892648015614836,53
C0631,258,6093,6351,0.0406235238545111,219
C0632,84,2062,2146,0.0391425908667288,74
