Facility,N,Overall Missing Percent
2698,1,0.3404255319148936
2697,1,0.3404255319148936
2095,1,0.3404255319148936
1993,1,0.3404255319148936
2002,1,0.3404255319148936
1948,1,0.3404255319148936
2743,1,0.3404255319148936
2733,1,0.3404255319148936
2712,1,0.3404255319148936
4366,1,0.3404255319148936
4401,1,0.3404255319148936
477,1,0.3404255319148936
496,1,0.3404255319148936
4433,1,0.3404255319148936
4417,1,0.3404255319148936
4412,1,0.3404255319148936
4406,1,0.3404255319148936
2745,1,0.3404255319148936
3811,1,0.3404255319148936
3804,1,0.3404255319148936
140,1,0.3404255319148936
5438,1,0.3404255319148936
11997,1,0.3404255319148936
5425,1,0.3404255319148936
5407,1,0.3404255319148936
5381,1,0.3404255319148936
177,1,0.3404255319148936
1735,1,0.3404255319148936
1740,1,0.3404255319148936
1216,20,0.3404255319148936
1619,1,0.3404255319148936
1615,3,0.3404255319148936
1597,4,0.3404255319148936
1571,1,0.3404255319148936
1575,4,0.3404255319148936
1582,2,0.3404255319148936
1579,2,0.3404255319148936
1585,1,0.3404255319148936
1461,4,0.3404255319148936
1523,2,0.3404255319148936
1478,1,0.3404255319148936
1337,16,0.3404255319148936
1349,6,0.3404255319148936
1444,6,0.3404255319148936
5536,1,0.3404255319148936
5506,1,0.3404255319148936
5478,1,0.3404255319148936
5534,1,0.3404255319148936
5514,1,0.3404255319148936
5472,1,0.3404255319148936
5477,1,0.3404255319148936
5461,1,0.3404255319148936
5463,1,0.3404255319148936
109,2,0.3404255319148936
108,1,0.3404255319148936
107,1,0.3404255319148936
103,1,0.3404255319148936
1543,3,0.34042553191489355
1190,21,0.34042553191489355
1495,3,0.34042553191489355
1446,6,0.34042553191489355
1470,3,0.34042553191489355
1155,17,0.34042553191489355
1184,19,0.33930571108622626
1120,15,0.33617021276595743
1127,11,0.3346228239845262
1185,19,0.33370660694288906
1383,9,0.33333333333333326
1158,17,0.3329161451814768
1188,23,0.332099907493062
1159,30,0.3319148936170212
1276,21,0.3313069908814589
1304,6,0.32978723404255317
1162,31,0.32944406314344554
1187,25,0.32765957446808514
1465,5,0.3276595744680851
1616,5,0.327659574468085
1134,10,0.327659574468085
1463,5,0.327659574468085
1156,29,0.32721936903888493
1175,30,0.326950354609929
1448,9,0.32624113475177297
1123,13,0.32569558101472995
1146,21,0.32522796352583583
1231,25,0.3251063829787233
1340,12,0.32446808510638303
1594,4,0.324468085106383
1256,16,0.324468085106383
1382,8,0.324468085106383
1602,4,0.324468085106383
1248,15,0.32340425531914896
1182,22,0.32301740812379115
1148,18,0.32269503546099293
1333,19,0.32250839865621495
1254,20,0.3212765957446808
1393,10,0.3212765957446808
1438,10,0.3212765957446807
1192,26,0.32078559738134194
1215,16,0.3204787234042553
1239,20,0.3202127659574468
1221,25,0.32
1154,27,0.31914893617021284
1471,3,0.3191489361702128
1189,22,0.3191489361702128
1394,6,0.31914893617021267
1367,12,0.31914893617021267
1160,24,0.31826241134751776
1131,14,0.3176291793313069
1399,8,0.31648936170212766
1299,14,0.31610942249240115
1351,13,0.31587561374795414
1153,19,0.3157894736842104
1227,15,0.31489361702127655
1165,35,0.31489361702127655
1442,10,0.31489361702127655
1224,15,0.3148936170212765
1457,5,0.3148936170212765
1117,12,0.3138297872340426
1166,33,0.3133462282398452
1492,7,0.3130699088145896
1453,7,0.3130699088145895
1331,14,0.3130699088145895
1141,16,0.3125
1404,9,0.31205673758865243
1226,18,0.3120567375886524
1270,18,0.3120567375886524
1177,29,0.3118121790168745
1222,20,0.31170212765957445
1235,24,0.31117021276595747
1253,13,0.31096563011456624
1234,19,0.3101903695408734
1219,18,0.309692671394799
1294,13,0.309328968903437
1284,21,0.30901722391084085
1195,24,0.3085106382978724
1390,8,0.30851063829787234
101,2,0.30851063829787234
1403,10,0.30851063829787234
1966,2,0.30851063829787234
1907,2,0.30851063829787234
1581,2,0.30851063829787234
1588,2,0.30851063829787234
1437,8,0.30851063829787234
1502,4,0.30851063829787234
1388,12,0.30851063829787234
1317,8,0.30851063829787234
1536,4,0.30851063829787234
1529,4,0.30851063829787234
1520,4,0.30851063829787234
1532,4,0.30851063829787234
1392,6,0.3085106382978723
1491,6,0.3085106382978723
1348,14,0.3085106382978723
1200,19,0.30795072788353856
1196,21,0.30699088145896647
1236,19,0.3068309070548712
1137,17,0.3066332916145181
1168,34,0.306633291614518
1217,22,0.30657640232108324
1129,11,0.30560928433268864
1385,11,0.3056092843326885
1230,20,0.3053191489361702
1265,27,0.3049645390070922
1257,19,0.30347144456886893
1147,24,0.30319148936170215
1223,17,0.30287859824780966
1268,22,0.3027079303675048
1258,22,0.3027079303675048
1255,15,0.30212765957446813
1238,20,0.3021276595744681
1474,5,0.302127659574468
1133,10,0.302127659574468
1124,15,0.302127659574468
1600,5,0.302127659574468
1194,23,0.301572617946346
1300,8,0.300531914893617
1449,8,0.300531914893617
1440,8,0.300531914893617
1398,10,0.29999999999999993
1329,11,0.29980657640232117
1350,11,0.2998065764023211
1240,22,0.2998065764023211
1384,11,0.2998065764023211
1261,22,0.29883945841392645
1169,29,0.29860601614086574
1942,3,0.29787234042553196
1482,3,0.29787234042553196
1183,18,0.2978723404255319
1604,3,0.2978723404255319
1462,3,0.2978723404255319
104,3,0.2978723404255319
1119,15,0.29787234042553185
1266,15,0.29787234042553185
1252,19,0.2967525195968645
1121,16,0.29654255319148937
1161,25,0.29617021276595745
1170,33,0.29593810444874286
1312,10,0.2957446808510638
1396,10,0.29574468085106376
1136,10,0.29574468085106376
1179,27,0.29550827423167847
1232,26,0.2954173486088379
1307,14,0.2948328267477203
1451,7,0.2948328267477203
1173,33,0.29464861379755003
1287,25,0.29446808510638295
1149,25,0.29446808510638284
1493,6,0.2943262411347518
1271,22,0.29400386847195353
1279,15,0.29361702127659567
1347,15,0.29361702127659567
1246,19,0.2933930571108622
1509,4,0.2925531914893617
1338,13,0.2913256955810147
1259,22,0.29110251450676977
1280,22,0.29110251450676977
1439,9,0.2907801418439716
1379,9,0.2907801418439716
1436,9,0.2907801418439716
1138,14,0.2902735562310029
1289,19,0.2900335946248599
1122,10,0.28936170212765955
1530,5,0.28936170212765955
1467,5,0.28936170212765955
1277,20,0.28936170212765955
1214,20,0.28936170212765955
1172,26,0.2888707037643207
1167,35,0.28875379939209717
1335,16,0.28856382978723405
1237,31,0.28826355525051484
1292,11,0.2882011605415862
1508,6,0.2872340425531915
1544,6,0.2872340425531915
1336,18,0.28723404255319146
1275,19,0.2866741321388577
1296,13,0.2864157119476268
1353,13,0.2864157119476268
1441,11,0.28626692456479697
1233,29,0.28539985326485706
1225,15,0.28510638297872337
1140,14,0.2841945288753798
1334,9,0.28368794326241126
1164,28,0.28343465045592703
1174,20,0.2829787234042553
1282,21,0.28267477203647406
1142,11,0.2823984526112187
1125,11,0.2823984526112186
1314,11,0.2823984526112186
1354,19,0.28219484882418816
1342,12,0.2819148936170213
1402,12,0.2819148936170212
1400,12,0.2819148936170212
1325,13,0.2815057283142389
1281,29,0.28099779897285404
1247,16,0.28058510638297873
1151,19,0.2799552071668532
1208,24,0.27925531914893614
1243,18,0.27895981087470445
1191,23,0.2784458834412581
1742,1,0.2765957446808511
102,2,0.2765957446808511
1927,2,0.2765957446808511
1929,2,0.2765957446808511
1291,12,0.2765957446808511
1926,1,0.2765957446808511
1961,1,0.2765957446808511
1476,2,0.2765957446808511
1391,9,0.2765957446808511
1574,4,0.2765957446808511
1568,2,0.2765957446808511
1566,2,0.2765957446808511
1983,1,0.2765957446808511
5466,1,0.2765957446808511
5473,1,0.2765957446808511
