Accuracy,Precision,Recall,Sensitivity,Specificity,PPV,NPV,F1,AUROC,Brier,TP,FP,TN,FN,Model,Fold
0.8594142259414226,0.8131147540983606,0.47058823529411764,0.47058823529411764,0.9694041867954911,0.8131147540983606,0.8661870503597122,0.5961538461538461,0.885553691634048,0.10591435335161593,496,114,3612,558,XGBClassifier,2
0.850836820083682,0.7884940778341794,0.44212523719165087,0.44212523719165087,0.9664519592055824,0.7884940778341794,0.8596323704941513,0.5665653495440729,0.8734029350143258,0.1108067533959493,466,125,3601,588,XGBClassifier,3
0.8531380753138076,0.7767295597484277,0.4686907020872865,0.4686907020872865,0.9618894256575417,0.7767295597484277,0.8648648648648649,0.5846153846153846,0.8676698485742019,0.11179966839547323,494,142,3584,560,XGBClassifier,4
0.8518828451882845,0.7848932676518884,0.45308056872037916,0.45308056872037916,0.9648322147651007,0.7848932676518884,0.8616638695756413,0.5745192307692307,0.8753200801552211,0.10938841916926327,478,131,3594,577,XGBClassifier,5
0.8456389876594854,0.7139001349527665,0.5014218009478673,0.5014218009478673,0.9431025228126677,0.7139001349527665,0.8698019801980198,0.589086859688196,0.8519237177970609,0.11543501076920377,529,212,3514,526,RandomForestClassifier,1
0.852510460251046,0.7367706919945726,0.5151802656546489,0.5151802656546489,0.9479334406870639,0.7367706919945726,0.8736087064061341,0.6063651591289783,0.8739004900178344,0.10756554389637672,543,194,3532,511,RandomForestClassifier,2
0.8433054393305439,0.7163120567375887,0.4791271347248577,0.4791271347248577,0.9463231347289318,0.7163120567375887,0.8652760736196319,0.5741898806139852,0.851421265612889,0.1155427513491867,505,200,3526,549,RandomForestClassifier,3
0.8387029288702929,0.6849673202614379,0.4971537001897533,0.4971537001897533,0.9353193773483629,0.6849673202614379,0.8679950186799502,0.5761407366684992,0.8500276532617097,0.11680051969851453,524,241,3485,530,RandomForestClassifier,4
0.8481171548117155,0.7275242047026279,0.4985781990521327,0.4985781990521327,0.9471140939597316,0.7275242047026279,0.869608084791718,0.5916760404949382,0.8572721778682527,0.11279870107339798,526,197,3528,529,RandomForestClassifier,5
0.7893746078226312,0.5641711229946524,0.2,0.2,0.9562533548040795,0.5641711229946524,0.8084864987519855,0.29531140657802657,0.7906083293266479,0.14134400715583983,211,163,3563,844,LogisticRegression (max_iter=1000),1
0.7958158995815899,0.6071428571428571,0.20967741935483872,0.20967741935483872,0.9616210413311863,0.6071428571428571,0.8113677536231884,0.31170662905500707,0.8054207268071636,0.13805012243945433,221,143,3583,833,LogisticRegression (max_iter=1000),2
0.7912133891213389,0.5769230769230769,0.19924098671726756,0.19924098671726756,0.9586688137412775,0.5769230769230769,0.8088768115942029,0.29619181946403383,0.7958583256688474,0.14036851398527708,210,154,3572,844,LogisticRegression (max_iter=1000),3
0.7972803347280335,0.6115485564304461,0.22106261859582543,0.22106261859582543,0.9602791196994096,0.6115485564304461,0.8133666742441464,0.32473867595818817,0.7872301769910602,0.1420615150231345,233,148,3578,821,LogisticRegression (max_iter=1000),4
