Facility,N,Overall Missing Percent
341,2,0.3404255319148936
522,1,0.3404255319148936
339,1,0.3404255319148936
338,1,0.3404255319148936
519,1,0.3404255319148936
508,1,0.3404255319148936
337,2,0.3404255319148936
535,1,0.3404255319148936
367,2,0.3404255319148936
968,1,0.3404255319148936
231,1,0.3404255319148936
962,1,0.3404255319148936
541,1,0.3404255319148936
264,1,0.3404255319148936
539,1,0.3404255319148936
965,1,0.3404255319148936
266,1,0.3404255319148936
241,1,0.3404255319148936
543,1,0.3404255319148936
578,1,0.3404255319148936
975,1,0.3404255319148936
483,1,0.3404255319148936
492,1,0.3404255319148936
202,2,0.3404255319148936
417,1,0.3404255319148936
1572,5,0.34042553191489355
1642,3,0.34042553191489355
1595,5,0.34042553191489355
1579,7,0.34042553191489355
1739,3,0.34042553191489355
1425,18,0.34042553191489355
1568,6,0.3404255319148935
1157,92,0.3399629972247919
1397,19,0.33930571108622615
1154,74,0.3392754456584244
1348,38,0.3387458006718926
1158,104,0.33797054009819966
1433,16,0.3377659574468085
1373,23,0.337650323774283
1161,95,0.33706606942889134
1125,88,0.3370406189555125
1423,15,0.3361702127659573
1337,48,0.3359929078014184
1324,37,0.335250143760782
1596,4,0.3351063829787234
1622,4,0.3351063829787234
1626,4,0.3351063829787234
1168,94,0.334314169307379
1430,18,0.33333333333333326
1159,102,0.33333333333333326
1164,92,0.33256244218316383
1526,8,0.3324468085106383
1590,8,0.3324468085106383
1170,86,0.33151904997525977
1171,100,0.33148936170212756
1547,7,0.331306990881459
1593,7,0.3313069908814589
1583,7,0.3313069908814589
1563,7,0.3313069908814589
1173,102,0.33124739257405084
1450,13,0.3306055646481178
1341,42,0.3302938196555217
1128,84,0.33004052684903745
1182,110,0.32998065764023204
1667,6,0.32978723404255317
1607,6,0.32978723404255317
1150,84,0.32978723404255317
1139,84,0.32902735562310015
1316,49,0.3287016934433349
1163,92,0.3286308973172988
1600,7,0.32826747720364735
1198,98,0.32783326096396
1345,37,0.327774583093732
1166,94,0.32775011317338154
1627,5,0.327659574468085
1355,30,0.327659574468085
1335,43,0.32756061355764476
1268,63,0.3272543059777101
1290,54,0.32702915681639083
1391,20,0.326595744680851
1389,27,0.3262411347517731
1400,27,0.3262411347517731
60,3,0.32624113475177297
1176,117,0.32587743226041094
1299,52,0.32569558101472995
1167,112,0.32484802431610943
1586,8,0.324468085106383
1378,16,0.324468085106383
1654,4,0.324468085106383
1371,31,0.32395332875772126
1504,9,0.32387706855791953
1187,110,0.3235976789168278
1399,20,0.3234042553191489
1343,35,0.32340425531914885
1346,36,0.3226950354609929
1191,109,0.32266250243997663
1172,110,0.32224371373307537
1658,7,0.32218844984802425
1481,14,0.3221884498480242
1186,100,0.32191489361702136
1199,100,0.32
1178,108,0.31993695823483065
1441,12,0.3191489361702128
4084,1,0.3191489361702128
4092,1,0.3191489361702128
1621,3,0.3191489361702128
1855,3,0.3191489361702128
1747,3,0.3191489361702128
1395,16,0.3191489361702128
33,3,0.3191489361702128
28,3,0.3191489361702128
1724,3,0.3191489361702128
5719,1,0.3191489361702128
1711,3,0.3191489361702128
355,3,0.3191489361702128
1773,3,0.3191489361702128
1402,22,0.3191489361702128
1412,18,0.3191489361702127
1569,9,0.31914893617021267
61,3,0.31914893617021267
1280,64,0.3184840425531915
1390,29,0.31841526045487883
1177,110,0.31740812379110245
1274,70,0.3173252279635258
1200,112,0.3170592705167172
1380,24,0.3164893617021277
1419,16,0.31648936170212766
1573,8,0.31648936170212766
1188,116,0.316030814380044
1374,26,0.31587561374795414
1307,51,0.3158114309553608
1452,18,0.3156028368794326
1225,86,0.31519049975259766
1383,26,0.31505728314238945
1647,5,0.31489361702127655
1672,5,0.31489361702127655
1410,20,0.31489361702127655
1585,10,0.31489361702127655
1625,5,0.31489361702127655
1671,5,0.31489361702127644
1557,5,0.31489361702127644
1206,103,0.31481098946498665
1262,67,0.31438551921244834
1197,105,0.3142857142857142
1447,17,0.31414267834793486
1195,111,0.3137818669733564
1418,19,0.31354983202687564
1304,56,0.31344984802431614
1194,97,0.3134459311252467
1486,14,0.3130699088145896
1576,7,0.3130699088145896
1530,7,0.31306990881458957
1338,45,0.3130023640661938
1365,31,0.3122855181880576
1333,43,0.3122216724393865
1819,3,0.3120567375886525
1455,9,0.31205673758865243
1367,38,0.3118701007838746
1446,20,0.31170212765957456
1392,20,0.3117021276595745
1180,111,0.3116733755031627
1190,116,0.3116287600880411
1184,97,0.3114718139942969
1474,11,0.31141199226305616
1320,51,0.3112223612849394
1209,107,0.31119506860210777
1344,39,0.31096563011456624
1223,87,0.3108339447297629
1219,86,0.3107372587827808
1322,45,0.3106382978723404
1312,55,0.309477756286267
1323,44,0.309477756286267
1202,105,0.3094224924012158
1398,19,0.30907054871220613
1179,120,0.3090425531914893
1207,92,0.3089731729879741
1342,31,0.30885380919698
1254,77,0.30864879801050005
1189,109,0.30860823736092136
1408,24,0.30851063829787245
1736,2,0.30851063829787234
37,2,0.30851063829787234
504,2,0.30851063829787234
503,2,0.30851063829787234
1827,2,0.30851063829787234
1631,6,0.30851063829787234
1620,4,0.30851063829787234
1818,2,0.30851063829787234
1682,2,0.30851063829787234
1811,2,0.30851063829787234
1796,2,0.30851063829787234
1916,2,0.30851063829787234
20,2,0.30851063829787234
1771,2,0.30851063829787234
1770,4,0.30851063829787234
1769,2,0.30851063829787234
1761,2,0.30851063829787234
1686,4,0.30851063829787234
1551,4,0.30851063829787234
1710,4,0.30851063829787234
1745,2,0.30851063829787234
1902,2,0.30851063829787234
1778,2,0.30851063829787234
293,2,0.30851063829787234
352,2,0.30851063829787234
56,2,0.30851063829787234
186,2,0.30851063829787234
5234,2,0.30851063829787234
978,2,0.30851063829787234
305,2,0.30851063829787234
129,2,0.30851063829787234
5245,2,0.30851063829787234
201,2,0.30851063829787234
1592,6,0.3085106382978723
1424,14,0.3085106382978723
1255,76,0.3082306830907054
1201,108,0.307919621749409
1222,100,0.30638297872340436
1403,13,0.3060556464811784
1181,100,0.30595744680851067
1175,102,0.3053817271589486
1185,101,0.3052454181588371
1490,9,0.3049645390070922
1406,18,0.30496453900709214
1192,117,0.3047826877614111
1376,25,0.3046808510638298
1285,57,0.3045912653975364
1174,105,0.3043566362715298
1339,42,0.30395136778115495
1464,14,0.3039513677811549
1554,7,0.3039513677811549
1183,102,0.3039215686274509
1246,81,0.3039138429209351
1267,67,0.30390600190536676
1235,86,0.30356259277585346
1384,30,0.3035460992907801
1354,34,0.30350438047559447
1220,95,0.30347144456886904
1363,38,0.303471444568869
1454,12,0.30319148936170204
1393,22,0.30270793036750493
1226,99,0.3026004728132388
1361,29,0.30227439471753487
43,5,0.30212765957446813
1612,5,0.30212765957446813
1650,5,0.3021276595744681
1577,5,0.3021276595744681
1277,52,0.30196399345335523
1315,48,0.3018617021276596
1242,82,0.30176440062272963
1205,94,0.3017202354006338
1283,50,0.30170212765957455
1422,17,0.30162703379224026
1193,110,0.3013539651837523
1227,96,0.3011968085106382
1357,33,0.3010960670535138
1347,47,0.30104119511091
1580,7,0.30091185410334337
1420,15,0.30070921985815596
1562,8,0.300531914893617
1224,85,0.30037546933667075
1329,46,0.3001850138760406
1362,41,0.2999481058640374
1203,109,0.29982432168651185
1305,50,0.29957446808510646
1332,39,0.2995090016366612
1479,14,0.2993920972644376
1241,92,0.29925994449583715
1261,78,0.2992362247681396
1234,97,0.2989690721649484
1350,40,0.298936170212766
1318,43,0.29886194952993567
1325,46,0.29879740980573544
1248,76,0.2981522956326988
1428,18,0.2978723404255319
1608,6,0.2978723404255319
1624,5,0.2978723404255319
350,3,0.2978723404255319
1673,3,0.2978723404255319
49,3,0.2978723404255319
351,3,0.2978723404255319
1109,3,0.2978723404255319
1527,3,0.2978723404255319
158,3,0.2978723404255319
1484,6,0.2978723404255319
1477,8,0.2978723404255319
381,3,0.2978723404255319
1105,3,0.2978723404255319
1730,2,0.2978723404255319
1729,3,0.2978723404255319
1723,3,0.2978723404255319
36,3,0.29787234042553185
1661,6,0.2978723404255318
1240,88,0.2976305609284332
1258,70,0.29756838905775074
1286,55,0.29748549323017415
1331,49,0.29743812418584464
1250,75,0.29730496453900707
1281,60,0.29716312056737587
1379,28,0.297112462006079
1247,83,0.29710330684439895
1292,53,0.29706945002007223
1300,61,0.29682595047087557
1204,104,0.29664484451718487
1249,83,0.2965906177903101
1319,48,0.2965425531914893
1340,47,0.2965142598460841
1492,13,0.2962356792144025
1311,49,0.2961354754667825
1221,85,0.2958698372966207
1416,10,0.2957446808510638
1415,19,0.29563269876819703
1265,66,0.29561573178594447
1431,17,0.29536921151439294
1253,75,0.29503546099290784
1349,28,0.2948328267477205
1264,77,0.2948328267477204
1581,7,0.2948328267477203
1326,42,0.2948328267477203
1462,14,0.2948328267477203
1263,68,0.2944305381727158
1243,92,0.2944033302497688
1298,47,0.2937980986871887
1216,91,0.29342997428103806
1297,56,0.2933130699088146
1404,23,0.29324699352451433
1414,18,0.29314420803782504
1370,31,0.2930679478380234
1677,4,0.2925531914893617
1436,16,0.2925531914893617
1435,16,0.2925531914893617
1762,4,0.2925531914893617
1765,4,0.2925531914893617
1588,8,0.2925531914893617
30,4,0.2925531914893617
1539,8,0.2925531914893617
1196,97,0.2923886817284492
1273,69,0.29232192414431085
1239,88,0.29231141199226307
1236,88,0.2918278529980658
1288,55,0.2916827852998066
1218,96,0.2916666666666666
1360,34,0.2916145181476846
1356,30,0.2914893617021276
1230,87,0.29126925898752754
1440,16,0.2912234042553192
1259,76,0.2911534154535274
1375,22,0.29110251450676977
1210,103,0.29105556703160507
1257,76,0.2908734602463606
1449,12,0.2907801418439716
1368,27,0.2907801418439716
1228,84,0.2907801418439716
1270,59,0.2906599350883519
1231,90,0.29054373522458626
1289,46,0.2904717853839037
1244,86,0.2904502721425037
1232,89,0.29022232847238816
1256,79,0.29006194451925676
1421,19,0.29003359462485995
1330,48,0.2898936170212766
1233,87,0.2898019075568599
1469,13,0.2896890343698854
1457,13,0.2896890343698854
1212,107,0.2895207794790216
